id,Series_Title,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,combined_features
186,Det sjunde inseglet,Drama,8.2,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",88.0,Ingmar Bergman,Max von Sydow,Gunnar Björnstrand,Bengt Ekerot,Nils Poppe,164939,"Drama Ingmar Bergman A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague. Max von Sydow Gunnar Björnstrand Bengt Ekerot Nils Poppe"
187,Du rififi chez les hommes,Crime,8.2,"Four men plan a technically perfect crime, but the human element intervenes...",97.0,Jules Dassin,Jean Servais,Carl Möhner,Robert Manuel,Janine Darcey,28810,"Crime Jules Dassin Four men plan a technically perfect crime, but the human element intervenes... Jean Servais Carl Möhner Robert Manuel Janine Darcey"
188,Dial M for Murder,Crime,8.2,A former tennis player tries to arrange his wife's murder after learning of her affair.,75.0,Alfred Hitchcock,Ray Milland,Grace Kelly,Robert Cummings,John Williams,158335,Crime Alfred Hitchcock A former tennis player tries to arrange his wife's murder after learning of her affair. Ray Milland Grace Kelly Robert Cummings John Williams
189,Tôkyô monogatari,Drama,8.2,"An old couple visit their children and grandchildren in the city, but receive little attention.",79.0,Yasujirô Ozu,Chishû Ryû,Chieko Higashiyama,Sô Yamamura,Setsuko Hara,53153,"Drama Yasujirô Ozu An old couple visit their children and grandchildren in the city, but receive little attention. Chishû Ryû Chieko Higashiyama Sô Yamamura Setsuko Hara"
190,Rashômon,Crime,8.2,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",98.0,Akira Kurosawa,Toshirô Mifune,Machiko Kyô,Masayuki Mori,Takashi Shimura,152572,"Crime Akira Kurosawa The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter. Toshirô Mifune Machiko Kyô Masayuki Mori Takashi Shimura"
191,All About Eve,Drama,8.2,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,98.0,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,Celeste Holm,120539,Drama Joseph L. Mankiewicz A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends. Bette Davis Anne Baxter George Sanders Celeste Holm
192,The Treasure of the Sierra Madre,Adventure,8.2,Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,98.0,John Huston,Humphrey Bogart,Walter Huston,Tim Holt,Bruce Bennett,114304,Adventure John Huston Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains. Humphrey Bogart Walter Huston Tim Holt Bruce Bennett
193,To Be or Not to Be,Comedy,8.2,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",86.0,Ernst Lubitsch,Carole Lombard,Jack Benny,Robert Stack,Felix Bressart,29915,"Comedy Ernst Lubitsch During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy. Carole Lombard Jack Benny Robert Stack Felix Bressart"
194,The Gold Rush,Adventure,8.2,A prospector goes to the Klondike in search of gold and finds it and more.,79.0,Charles Chaplin,Charles Chaplin,Mack Swain,Tom Murray,Henry Bergman,101053,Adventure Charles Chaplin A prospector goes to the Klondike in search of gold and finds it and more. Charles Chaplin Mack Swain Tom Murray Henry Bergman
195,Sherlock Jr.,Action,8.2,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",79.0,Buster Keaton,Buster Keaton,Kathryn McGuire,Joe Keaton,Erwin Connelly,41985,"Action Buster Keaton A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch. Buster Keaton Kathryn McGuire Joe Keaton Erwin Connelly"
196,Portrait de la jeune fille en feu,Drama,8.1,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",95.0,Céline Sciamma,Noémie Merlant,Adèle Haenel,Luàna Bajrami,Valeria Golino,63134,"Drama Céline Sciamma On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman. Noémie Merlant Adèle Haenel Luàna Bajrami Valeria Golino"
197,Pink,Drama,8.1,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",79.0,Aniruddha Roy Chowdhury,Taapsee Pannu,Amitabh Bachchan,Kirti Kulhari,Andrea Tariang,39216,"Drama Aniruddha Roy Chowdhury When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names. Taapsee Pannu Amitabh Bachchan Kirti Kulhari Andrea Tariang"
198,Koe no katachi,Animation,8.1,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",78.0,Naoko Yamada,Miyu Irino,Saori Hayami,Aoi Yûki,Kenshô Ono,47708,"Animation Naoko Yamada A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption. Miyu Irino Saori Hayami Aoi Yûki Kenshô Ono"
199,Contratiempo,Crime,8.1,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,79.0,Oriol Paulo,Mario Casas,Ana Wagener,Jose Coronado,Bárbara Lennie,141516,Crime Oriol Paulo A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense. Mario Casas Ana Wagener Jose Coronado Bárbara Lennie
200,Ah-ga-ssi,Drama,8.1,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",84.0,Chan-wook Park,Kim Min-hee,Jung-woo Ha,Cho Jin-woong,Moon So-Ri,113649,"Drama Chan-wook Park A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her. Kim Min-hee Jung-woo Ha Cho Jin-woong Moon So-Ri"
201,Mommy,Drama,8.1,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.",74.0,Xavier Dolan,Anne Dorval,Antoine Olivier Pilon,Suzanne Clément,Patrick Huard,50700,"Drama Xavier Dolan A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household. Anne Dorval Antoine Olivier Pilon Suzanne Clément Patrick Huard"
202,Haider,Action,8.1,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",79.0,Vishal Bhardwaj,Shahid Kapoor,Tabu,Shraddha Kapoor,Kay Kay Menon,50445,"Action Vishal Bhardwaj A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate. Shahid Kapoor Tabu Shraddha Kapoor Kay Kay Menon"
203,Logan,Action,8.1,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",77.0,James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,647884,"Action James Mangold In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety. Hugh Jackman Patrick Stewart Dafne Keen Boyd Holbrook"
204,Room,Drama,8.1,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",86.0,Lenny Abrahamson,Brie Larson,Jacob Tremblay,Sean Bridgers,Wendy Crewson,371538,"Drama Lenny Abrahamson Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time. Brie Larson Jacob Tremblay Sean Bridgers Wendy Crewson"
205,Relatos salvajes,Comedy,8.1,Six short stories that explore the extremities of human behavior involving people in distress.,77.0,Damián Szifron,Darío Grandinetti,María Marull,Mónica Villa,Diego Starosta,177059,Comedy Damián Szifron Six short stories that explore the extremities of human behavior involving people in distress. Darío Grandinetti María Marull Mónica Villa Diego Starosta
206,Soul,Animation,8.1,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",83.0,Pete Docter,Kemp Powers,Jamie Foxx,Tina Fey,Graham Norton,159171,"Animation Pete Docter After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife. Kemp Powers Jamie Foxx Tina Fey Graham Norton"
207,Kis Uykusu,Drama,8.1,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,88.0,Nuri Bilge Ceylan,Haluk Bilginer,Melisa Sözen,Demet Akbag,Ayberk Pekcan,46547,Drama Nuri Bilge Ceylan A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent. Haluk Bilginer Melisa Sözen Demet Akbag Ayberk Pekcan
208,PK,Comedy,8.1,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,79.0,Rajkumar Hirani,Aamir Khan,Anushka Sharma,Sanjay Dutt,Boman Irani,163061,Comedy Rajkumar Hirani An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people. Aamir Khan Anushka Sharma Sanjay Dutt Boman Irani
209,OMG: Oh My God!,Comedy,8.1,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,79.0,Umesh Shukla,Paresh Rawal,Akshay Kumar,Mithun Chakraborty,Mahesh Manjrekar,51739,Comedy Umesh Shukla A shopkeeper takes God to court when his shop is destroyed by an earthquake. Paresh Rawal Akshay Kumar Mithun Chakraborty Mahesh Manjrekar
210,The Grand Budapest Hotel,Adventure,8.1,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",88.0,Wes Anderson,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adrien Brody,707630,"Adventure Wes Anderson A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge. Ralph Fiennes F. Murray Abraham Mathieu Amalric Adrien Brody"
211,Gone Girl,Drama,8.1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",79.0,David Fincher,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,859695,"Drama David Fincher With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent. Ben Affleck Rosamund Pike Neil Patrick Harris Tyler Perry"
212,Ôkami kodomo no Ame to Yuki,Animation,8.1,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.",71.0,Mamoru Hosoda,Aoi Miyazaki,Takao Osawa,Haru Kuroki,Yukito Nishii,38803,"Animation Mamoru Hosoda After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society. Aoi Miyazaki Takao Osawa Haru Kuroki Yukito Nishii"
213,Hacksaw Ridge,Biography,8.1,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",71.0,Mel Gibson,Andrew Garfield,Sam Worthington,Luke Bracey,Teresa Palmer,435928,"Biography Mel Gibson World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot. Andrew Garfield Sam Worthington Luke Bracey Teresa Palmer"
